Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
05/13/2014,"6,873.08","6,851.75","6,877.39","6,845.95",631.55M,0.31%,,,6791.244141
05/12/2014,"6,851.75","6,814.57","6,851.75","6,814.57",565.08M,0.55%,,,6760.545898
05/09/2014,"6,814.57","6,839.25","6,839.42","6,805.39",617.68M,-0.36%,,,6777.635742
05/08/2014,"6,839.25","6,796.44","6,840.37","6,796.44",818.48M,0.63%,,,6739.281738
05/07/2014,"6,796.44","6,798.56","6,799.34","6,766.84",768.89M,-0.03%,,,6743.583984
05/06/2014,"6,798.56","6,822.42","6,828.62","6,785.32",732.62M,-0.35%,,,6763.594727
05/02/2014,"6,822.42","6,808.87","6,838.17","6,798.61",746.45M,0.20%,,,6749.00293
05/01/2014,"6,808.87","6,780.03","6,811.64","6,773.69",648.19M,0.43%,,,6722.687012
04/30/2014,"6,780.03","6,769.91","6,794.88","6,748.76",773.11M,0.15%,,,6706.552246
04/29/2014,"6,769.91","6,700.16","6,769.91","6,700.10",674.49M,1.04%,,,6642.859375
04/28/2014,"6,700.16","6,685.69","6,720.33","6,682.90",652.39M,0.22%,,,6631.955078
04/25/2014,"6,685.69","6,702.85","6,704.37","6,657.30",578.70M,-0.26%,,,6644.967773
04/24/2014,"6,703.00","6,674.74","6,724.58","6,667.65",616.11M,0.42%,,,6621.449707
04/23/2014,"6,674.74","6,681.76","6,694.82","6,661.42",637.85M,-0.11%,,,6622.793457
04/22/2014,"6,681.76","6,625.25","6,706.19","6,625.25",840.73M,0.85%,,,6568.569336
04/17/2014,"6,625.25","6,584.17","6,627.25","6,559.35",842.35M,0.62%,,,6527.462891
04/16/2014,"6,584.17","6,541.61","6,596.99","6,541.61",686.34M,0.65%,,,6493.73291
04/15/2014,"6,541.61","6,583.76","6,594.24","6,534.20",858.94M,-0.64%,,,6528.218262
04/14/2014,"6,583.76","6,561.70","6,583.76","6,507.08",979.65M,0.34%,,,6517.261719
04/11/2014,"6,561.70","6,641.97","6,641.97","6,538.75",817.95M,-1.21%,,,6587.595215
04/10/2014,"6,641.97","6,635.61","6,688.28","6,620.39",670.60M,0.10%,,,6576.434082
04/09/2014,"6,635.61","6,590.69","6,654.05","6,590.41",758.99M,0.68%,,,6539.450195
04/08/2014,"6,590.69","6,622.84","6,625.19","6,549.75",1.06B,-0.49%,,,6575.544922
04/07/2014,"6,622.84","6,695.55","6,695.55","6,614.73",666.07M,-1.09%,,,6635.329102
04/04/2014,"6,695.55","6,649.14","6,706.34","6,649.14",876.23M,0.70%,,,6595.395996
04/03/2014,"6,649.14","6,659.04","6,680.78","6,638.52",670.68M,-0.15%,,,6603.840332
04/02/2014,"6,659.04","6,652.61","6,672.73","6,639.63",971.88M,0.10%,,,6592.687012
04/01/2014,"6,652.61","6,598.37","6,660.27","6,598.37",853.49M,0.82%,,,6546.421387
03/31/2014,"6,598.37","6,615.58","6,658.40","6,583.09",867.82M,-0.26%,,,6559.084961
03/28/2014,"6,615.58","6,588.32","6,631.48","6,585.73",1.00B,0.41%,,,6537.388184
03/27/2014,"6,588.32","6,605.30","6,605.30","6,561.39",850.23M,-0.26%,,,6553.114746
03/26/2014,"6,605.30","6,604.89","6,643.58","6,601.78",1.43B,0.01%,,,6544.302734
03/25/2014,"6,604.89","6,520.39","6,604.89","6,520.39",674.29M,1.30%,,,6473.324219
03/24/2014,"6,520.39","6,557.17","6,568.96","6,506.42",762.85M,-0.56%,,,6504.419434
03/21/2014,"6,557.17","6,542.44","6,572.09","6,537.89",1.50B,0.23%,,,6495.143066
03/20/2014,"6,542.44","6,573.13","6,573.13","6,492.62",795.07M,-0.47%,,,6526.677246
03/19/2014,"6,573.13","6,605.28","6,609.46","6,566.85",1.05B,-0.49%,,,6551.956543
03/18/2014,"6,605.28","6,568.35","6,628.20","6,534.86",723.56M,0.56%,,,6514.538574
03/17/2014,"6,568.35","6,527.89","6,592.37","6,527.87",692.71M,0.62%,,,6480.627441
03/14/2014,"6,527.89","6,553.78","6,553.78","6,500.37",847.30M,-0.40%,,,6510.20166
03/13/2014,"6,553.78","6,620.90","6,631.38","6,552.46",894.84M,-1.01%,,,6576.087891
03/12/2014,"6,620.90","6,685.52","6,685.52","6,598.36",891.94M,-0.97%,,,6633.026855
03/11/2014,"6,685.52","6,689.45","6,718.30","6,660.59",868.65M,-0.06%,,,6638.329102
03/10/2014,"6,689.45","6,712.67","6,757.00","6,671.62",820.42M,-0.35%,,,6666.740234
03/07/2014,"6,712.67","6,788.49","6,800.66","6,706.38",793.75M,-1.12%,,,6732.957031
03/06/2014,"6,788.49","6,775.42","6,806.62","6,770.95",664.69M,0.19%,,,6726.253418
03/05/2014,"6,775.42","6,823.77","6,824.16","6,771.50",623.86M,-0.71%,,,6756.462402
03/04/2014,"6,823.77","6,708.35","6,827.22","6,708.35",734.14M,1.72%,,,6664.03418
03/03/2014,"6,708.35","6,809.70","6,809.70","6,671.89",829.08M,-1.49%,,,6753.350098
02/28/2014,"6,809.70","6,810.27","6,833.82","6,785.54",924.58M,-0.01%,,,6751.717285
02/27/2014,"6,810.27","6,799.15","6,819.24","6,733.54",845.70M,0.16%,,,6744.483887
02/26/2014,"6,799.15","6,830.50","6,834.09","6,785.28",739.00M,-0.46%,,,6775.841309
02/25/2014,"6,830.50","6,862.73","6,866.35","6,790.93",1.16B,-0.52%,,,6804.370605
02/24/2014,"6,865.86","6,838.06","6,865.86","6,797.83",1.07B,0.41%,,,6776.871094
02/21/2014,"6,838.06","6,812.99","6,859.91","6,812.99",1.02B,0.37%,,,6753.07666
